ID	Length	Charge	Aromaticity	InstabilityIndex	IsoelectricPoint	Hydrophobicity	Group	PC1	PC2
sp|A0A097PTA8|DEFCO_COPCI	184	-3.478419618550122	0.03804347826086957	49.15271739130434	5.293438148498535	0.2505434782608696	Database AMP Precursors	-0.9290594948456897	-0.5442558649445969
sp|A0A0A1I6E7|NDB4S_ANDCR	74	2.674584720250559	0.10810810810810811	26.616216216216216	9.356119346618652	0.14594594594594598	Database AMP Precursors	0.7486954856999176	-0.2571784156274605
sp|A0A0A1I6N9|NDB4T_ANDCR	74	3.5862897710561263	0.10810810810810811	28.28378378378378	9.648161125183105	0.1324324324324325	Database AMP Precursors	0.807237289616963	-0.14186897365643808
sp|A0A0B4J1N3|GP15L_MOUSE	78	13.689296778491233	0.05128205128205129	60.72435897435894	10.932113456726075	0.03461538461538464	Database AMP Precursors	0.6824234872401747	0.9848531346455206
sp|A0A0G2JDV3|GBP6_MOUSE	611	-12.156598628751553	0.08019639934533551	41.90720130932903	5.743318748474121	-0.4888707037643208	Database AMP Precursors	-1.395290998462604	0.8421333149133234
sp|A0A0K1YW63|SECP_APICE	115	2.7411737851540625	0.13043478260869565	39.008695652173905	8.807364463806152	-0.3234782608695651	Database AMP Precursors	-0.037923182405046274	0.4769820031628413
sp|A0A139GI49|KAWA_MICA8	87	-4.485069546002681	0.10344827586206896	23.298850574712638	4.3140455245971685	-0.406896551724138	Database AMP Precursors	-1.1402664032826615	-0.7487576140805926
sp|A0A144LUY5|CTCN1_ECHES	119	-4.32617774731146	0.058823529411764705	44.3109243697479	5.182431602478027	-0.09999999999999999	Database AMP Precursors	-1.154662708807364	-0.49861569884137674
sp|A0A2L2DDD0|FIG02_BOARA	84	-4.295506861278872	0.05952380952380953	54.16785714285714	5.287583732604979	-0.6523809523809523	Database AMP Precursors	-1.7731254948449107	0.09564584581734126
sp|A0A2L2DDE6|FIG01_BOARA	68	-3.471121314598932	0.07352941176470588	48.78676470588236	4.977868080139159	-0.27352941176470585	Database AMP Precursors	-1.4353889105656075	-0.34661620809280935
sp|A0A2U8QPE6|OXLA_MICMP	501	7.802495857192632	0.1157684630738523	36.960698602794395	8.807235527038575	-0.3013972055888224	Database AMP Precursors	0.3120191817597172	1.5084141654544168
sp|A0A452E9Y6|PERL_CAPHI	712	9.91536930572758	0.09129213483146069	37.446067415730425	8.711435508728027	-0.3536516853932584	Database AMP Precursors	0.38135183210342194	2.08117090511759
sp|A0A7G6KN55|DFB13_CROPO	61	4.875584146697421	0.11475409836065574	32.690163934426224	9.148917961120606	-0.10819672131147547	Database AMP Precursors	0.43259740751520237	0.11506024995033638
sp|A1A547|PGRP3_MOUSE	347	-3.544579380905791	0.1037463976945245	42.86167146974064	6.296759986877441	-0.01585014409221904	Database AMP Precursors	-0.7123803417334249	0.2500632972637895
sp|A1Z0M0|HEPC_LARCR	85	0.4198742390817607	0.09411764705882353	79.18000000000002	7.433710289001465	-0.023529411764705892	Database AMP Precursors	-1.2193072957625473	0.609247985738908
sp|A4ZDL6|GNK2_GINBI	134	6.4429707075610665	0.08955223880597016	48.23880597014926	9.414334297180176	0.050746268656716394	Database AMP Precursors	0.3312330493184385	0.500928671086831
sp|A5HAK0|RNSL3_DANRE	149	6.963819089405032	0.0738255033557047	44.575838926174484	9.159490776062015	-0.5496644295302013	Database AMP Precursors	-0.04782967832837503	0.9138121873274031
sp|A5JUY8|PERL_BUBBU	712	10.739733627054747	0.09691011235955058	36.87921348314614	8.768232154846192	-0.3866573033707865	Database AMP Precursors	0.41112564103152943	2.148329542927007
sp|A6MEY4|PA2B_BUNFA	145	0.6882095937576942	0.09655172413793103	18.275862068965512	7.4013689041137685	-0.06206896551724138	Database AMP Precursors	0.24285666599539987	-0.4303395733261601
sp|A6NK06|IRG1_HUMAN	481	0.06321746762621672	0.08316008316008316	44.65367983367981	7.0148637771606435	-0.03118503118503117	Database AMP Precursors	-0.4037409033600682	0.7973822662469673
sp|A6XMY0|ARA1_HYAAR	64	7.5327666190901255	0.078125	94.48437499999997	10.188535118103026	-0.3234375	Database AMP Precursors	-0.8275493155783273	1.688323554395705
sp|A8QL52|OXLA_BUNFA	517	6.545351555505313	0.11411992263056092	33.48858800773693	8.692352867126463	-0.31237911025145065	Database AMP Precursors	0.3191629502334624	1.423282186026296
sp|B3A003|LYS3_CRAVI	187	0.42893804278329206	0.09090909090909091	52.53101604278075	7.130133247375488	-0.20427807486631017	Database AMP Precursors	-0.7558153877962543	0.42622204407838016
sp|B3EWR6|AMP_ECHCG	361	-5.80289344595424	0.027700831024930747	76.18614958448765	6.038426780700683	-1.6930747922437674	Database AMP Precursors	-2.8220687545236496	2.061189049678544
sp|B5AR80|OXLA_BOTPA	503	-3.5314520114736467	0.11133200795228629	38.362027833001974	6.30721836090088	-0.35626242544731607	Database AMP Precursors	-0.8121590721281016	0.8506244298270106
